file_id,category,title,description,features,tags,download_count,file_size,upload_date,author,preview_images,related_files
392103,업무프로그램,직원 근태대장,"일자, 부서, 직위, 성명, 출근시간, 퇴근시간, 휴가, 결근, 지각, 조퇴, 야근, 기타를 입력할 수 있으며 입력된 데이터값을 근간으로 조건별 검색 및 자동합산 기능을 통해 월계 및 누계의 합계를 확인할 수 있습니다.",['FAMILY SITE'],"['출퇴근관리 휴가관리 사원관리\n\n\n더보기\n접기', '출퇴근관리 휴가관리 사원관리']",,,,,[],[]
381231,업무프로그램,"[2025년] 거래처 매입매출대장(외상매입금, 외상매출금)","일자, 거래처, 세액, 매입금액, 매입세액, 매입합계, 지급액, 외상매입금, 매출금액, 매출세액, 매출합계, 수금액, 외상매출금을 입력할 수 있으며 입력된 데이터값을 근간으로 매입합계, 외상매입금, 매출합계, 외상매출금을 자동산출 할 수 있도록 구성된 콘텐츠입니다. 조건별 검색 및 자동합산 기능을 통해 월계 및 누계의 합계를 확인할 수 있습니다.",['FAMILY SITE'],"['품목별 수금 지급 미수금 미지급\n\n\n더보기\n접기', '품목별 수금 지급 미수금 미지급']",,,,,[],[]
388895,업무프로그램,[2025년] 월 직원휴가 관리대장,"당월 직원의 휴가를 연차, 공가, 병가, 포상휴가 등으로 세분화하여 그 휴가 기간을 작성하고, 남은 연차를 파악하여 입력하는 월 직원휴가 관리대장입니다. [엑셀파일서식]은 일반문서를 저장과 불러오기 기능을 이용하여 관리할 수 있도록 제작되어 있습니다.",['FAMILY SITE'],[],,,,,[],[]
340256,업무프로그램,명부(명단) 엑셀서식 모음,"명부(명단)에 대한 엑셀서식 모음입니다.
사원명부, 근로자 명부, 주주명부, 조합원 명부, 임원명부, 거래처 명부, 비상연락망, 사내 동호회 회원명부, 골프회 회원명부, 회원 인명부, 협력업체 주소록, 주간 당직근무자 명단, 비밀취급인가자 명부, 매입처 명부, 가망고객 리스트, DM발송 고객상담 리스트, 단체여행자 인명부 등으로 구성되어 있으며, 함수, 자동인쇄, 이미지 삽입, 내보내기 기능이 포함되어 있습니다.",['FAMILY SITE'],[],,,,,[],[]
361879,업무프로그램,거래명세서(11),"공급받는자, 공급자 정보, 일자, 품목, 규격, 수량, 단가를 입력하면 공급가액, 세액, 합계금액 등이 자동으로 계산되고 저장과 불러오기 기능을 이용하여 관리할 수 있도록 구성되어 있습니다.",['FAMILY SITE'],[],,,,,[],[]
337130,업무프로그램,거래처 외상매출금(미수금) 관리대장,"일자, 거래처, 담당자, 연락처, 품목, 수량, 단가, 매출합계, 수금, 외상매출금, 비고를 입력할 수 있으며 입력된 데이터값을 근간으로 하여 매출합계, 수금, 외상매출금을 자동산출 할 수 있도록 구성된 콘텐츠입니다. 조건별 검색 및 자동합산 기능을 통해 월계 및 누계의 합계를 확인할 수 있습니다.",['FAMILY SITE'],"['외상매입금 매입 입고 출고 수입 지출\n\n\n더보기\n접기', '외상매입금 매입 입고 출고 수입 지출']",,,,,[],[]
337192,업무프로그램,연장근무 시간 및 수당기록부,"일자, 부서, 직위, 사원명, 근무내용, 시작시간, 종료시간, 근무시간(h), 근무수당, 비고를 입력할 수 있으며 입력된 데이터값을 근간으로 하여 근무시간, 근무수당을 자동산출 할 수 있도록 구성된 콘텐츠입니다. 조건별 검색 및 자동합산 기능을 통해 월계 및 누계의 합계를 확인할 수 있습니다.",['FAMILY SITE'],"['야근 초과근무 시간외근무 잔업 당직 철야 특근\n\n\n더보기\n접기', '야근 초과근무 시간외근무 잔업 당직 철야 특근']",,,,,[],[]
389895,업무프로그램,통장 입출금 관리대장,"일자, 계좌정보, 카드명, 입금(현금), 입금(카드결제), 출금(계좌이체), 출금(현금), 출금(체크카드), 증감액, 비고를 입력할 수 있으며 입력된 데이터값을 근간으로 증감액을 자동산출 할 수 있도록 구성된 콘텐츠입니다. 조건별 검색 및 자동합산 기능을 통해 월계 및 누계의 합계를 확인할 수 있습니다.",['FAMILY SITE'],"['현금관리 자금관리 계좌 은행거래 계좌정보 계좌이체\n\n\n더보기\n접기', '현금관리 자금관리 계좌 은행거래 계좌정보 계좌이체']",,,,,[],[]
389814,업무프로그램,거래처별 매입매출 관리대장,"일자, 거래처, 품목, 매입금액, 매입세액, 매입합계, 지급액, 미지급액, 매출금액, 매출세액, 매출합계, 수금액, 미수금, 비고를 입력할 수 있으며 입력된 데이터값을 근간으로 매입합계, 미지급액, 매출합계, 미수금을 자동산출 할 수 있도록 구성된 콘텐츠입니다. 조건별 검색 및 자동합산 기능을 통해 월계 및 누계의 합계를 확인할 수 있습니다.",['FAMILY SITE'],[],,,,,[],[]
340254,업무프로그램,관리대장 엑셀서식 모음,"관리대장에 대한 엑셀서식 모음입니다.
공문서 관리대장, 소모품 관리대장, 비품관리대장, 자재 입출고 관리대장, 공기구 관리대장, 부적합품 관리대장, 재고자산 관리대장, 유형 고정자산 관리대장, 법인차량 관리대장, 방문자 출입대장, 고객 관리대장, 거래처 정보관리대장, 지출결의서 관리대장, 야근식대 관리대장, 미수금 관리대장, 외상매입금 관리대장, AS 관리대장 등으로 구성되어 있으며, 함수, 자동인쇄, 이미지 삽입, 내보내기 기능이 포함되어 있습니다.",['FAMILY SITE'],[],,,,,[],[]
